,SS siCtrl set 1,SS siCtrl set 2,SS siCtrl set 3,SS siCtrl set 4,SS siChchd10 set 1,SS siChchd10 set 2,SS siChchd10 set 3,SS siChchd10 set 4,AA siCtrl set 1,AA siCtrl set 2,AA siCtrl set 3,AA siCtrl set 4,AA siChchd10 set 1,AA siChchd10 set 2,AA siChchd10 set 3,AA siChchd10 set 4
Zmynd15,183,243,246,198,304,331,276,270,146,195,178,126,97,93,74,161
Cxcl16,1326,1662,1388,1384,2167,2182,2487,2356,1002,980,920,792,1095,1244,1074,1760
Med11,820,890,857,838,973,904,986,971,702,622,612,579,724,764,720,1211
Mir7115,14,21,16,3,24,13,12,16,49,38,57,31,15,11,8,22
Arrb2,2437,3234,2860,2767,2999,2940,2870,2837,3014,2555,2718,2406,2065,2209,2087,3310
Gm12314,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
Gm12313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelp1,3348,4036,4213,3884,3720,4032,4117,3884,3659,3543,3438,3219,3332,3732,3415,4631
Gm12312,5,2,5,3,2,3,2,2,117,100,86,104,148,146,116,187
Alox15,67,80,97,57,50,58,55,44,129,148,131,149,88,67,83,155
Alox12e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm40192,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm33048,0,0,0,7,0,0,0,0,0,0,0,0,1,1,1,2
Gm32992,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Alox12,4,6,3,4,9,3,3,8,3,5,6,1,6,15,4,12
Gm40191,5,9,6,1,11,7,11,9,11,6,11,4,10,10,8,24
Rnasek,1530,2009,1774,1903,2086,2025,2109,2118,1768,1690,1622,1501,1938,2385,1927,3005
0610010K14Rik,1091,1408,1414,1432,1138,1191,1350,1254,1114,1052,1118,985,901,1046,928,1502
Mir195a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bcl6b,32,35,40,33,22,16,23,36,2,0,0,3,2,0,0,4
Slc16a13,689,825,931,927,849,867,855,838,871,799,715,687,794,854,794,1117
Slc16a11,21,48,42,27,25,31,27,13,73,81,94,69,80,58,79,142
Clec10a,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0
Mgl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asgr2,22,29,34,20,99,82,53,75,4,4,3,3,15,22,9,21
