,SS siCtrl set 1,SS siCtrl set 2,SS siCtrl set 3,SS siCtrl set 4,SS siChchd10 set 1,SS siChchd10 set 2,SS siChchd10 set 3,SS siChchd10 set 4,AA siCtrl set 1,AA siCtrl set 2,AA siCtrl set 3,AA siCtrl set 4,AA siChchd10 set 1,AA siChchd10 set 2,AA siChchd10 set 3,AA siChchd10 set 4
Strn4,2550,3368,3260,2925,3250,3385,3481,3464,4056,4021,3803,3671,3689,4026,3729,5600
Fkrp,713,861,849,873,879,821,880,831,1161,1121,989,950,1026,1232,1160,1645
Slc1a5,3552,6125,5190,3822,4202,4273,4447,3629,6071,5931,6174,5928,3761,3735,3300,6588
Ap2s1,2859,3216,3192,3394,3013,3027,3286,3307,3376,3066,2945,2728,3444,3930,3556,5450
Ceacam9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Gm5586,20,40,24,28,21,21,23,28,24,41,26,23,17,20,19,35
Gm8209,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1
Ceacam15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Gm29443,0,0,2,0,1,0,3,0,2,1,2,0,0,0,0,0
Gm17981,2,8,4,0,5,2,2,1,3,1,2,1,0,0,0,2
Gm17826,1,1,2,1,0,3,1,0,0,1,2,0,0,0,0,1
Arhgap35,11828,14888,15381,13547,11781,12664,13024,12479,7354,7387,6820,6976,5600,5844,5389,7743
n-R5s151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Npas1,61,73,82,66,57,83,85,72,61,70,63,78,102,113,109,151
Tmem160,669,807,745,785,800,817,950,947,583,487,511,452,661,793,725,1103
Zc3h4,3848,4755,5306,4491,5320,5330,4883,4638,5286,5210,5106,4921,5033,5041,4735,7444
Sae1,9076,10428,10443,10137,8806,9334,10728,10046,8915,8097,7982,7613,8866,9458,8733,13982
Bbc3,548,717,627,601,594,656,661,545,565,547,477,475,579,659,594,994
Ccdc9,1458,1929,1859,1710,1709,1683,1838,1723,1294,1055,1113,1084,975,1011,939,1664
C5ar1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1
C5ar2,1,2,4,3,3,4,4,3,7,3,0,2,1,1,5,7
Dhx34,1367,1797,1810,1629,1882,1824,1730,1604,1806,1712,1674,1604,1562,1718,1570,2462
Meis3,513,769,638,640,673,665,703,679,690,714,656,631,604,717,597,1059
Slc8a2,13,14,17,6,18,7,10,11,19,19,23,14,29,30,23,35
Kptn,310,380,377,392,359,347,367,345,431,387,416,382,375,395,331,493
Napa,3126,3717,3782,3572,3599,3725,3857,3756,4179,3879,3905,3534,4126,4554,4214,6178
Zfp541,0,0,0,0,0,0,0,0,0,3,2,0,1,0,3,2
Gm32059,16,6,12,12,8,7,18,9,35,33,22,32,37,61,47,55
Gm38948,36,84,59,33,73,75,41,32,49,58,68,85,39,43,34,58
Bicra,978,1499,1418,1262,1414,1394,1380,1322,1773,1950,1806,1706,1492,1566,1523,2126
Ehd2,6812,7896,8613,7830,7862,7596,7975,7577,15987,15899,15636,15060,15984,16200,15476,21877
Gm24576,1,1,2,1,8,1,1,0,0,3,1,1,0,1,1,0
Snord23,0,1,1,0,0,0,2,0,1,0,1,0,0,0,1,1
Nop53,4952,6270,5660,5505,5411,5280,5743,5611,4510,4226,4147,3793,3500,4080,3686,5753
Selenow,1605,1760,1649,1592,1203,1207,1373,1254,1918,1850,1710,1540,1283,1401,1288,2235
Ass-ps1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crxos,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0
Crx,0,0,1,1,0,1,0,0,2,2,0,1,0,0,0,1
Obox6,0,2,0,0,5,0,0,0,0,0,1,0,0,0,1,0
Obox5,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
Obox4-ps33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obox3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Obox3-ps6,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Obox4-ps29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Obox4-ps27,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Obox2,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0
Obox3-ps5,0,0,0,0,0,1,0,2,0,0,1,0,0,3,0,0
Mrip-ps,84,101,86,95,74,75,72,84,77,108,111,91,90,83,119,142
Obox4-ps23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obox4-ps16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obox4-ps15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Obox4-ps13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Obox4-ps12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Obox3-ps4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Obox4-ps9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obox3-ps3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Obox4-ps6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obox3-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm26056,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Obox4-ps37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obox3-ps1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Obox7,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Obox3-ps7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Gm38596,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Nlrp5-ps,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Phf20-ps,1,1,5,2,4,2,1,4,5,1,3,1,2,2,2,4
Rpap3-ps2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Sult2a6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zbed4-ps3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Sult2a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem167-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kat6b-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zbed4-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zbed4-ps1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0
Gm44254,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Rpl7a-ps14,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
Cabp5,13,18,25,9,13,11,19,16,33,33,22,31,27,24,17,63
Pla2g4c-ps,7,11,10,9,8,11,8,11,19,13,17,20,13,10,5,29
Rps8-ps4,1,6,4,4,4,2,0,3,3,5,2,2,2,2,6,3
Pla2g4c,128,214,255,113,167,146,124,150,207,211,210,197,159,127,138,281
Lig1,5993,6684,7017,6479,6110,6637,7020,6543,5687,5152,5144,5079,5228,5796,5421,8017
Zswim9,554,624,618,637,647,741,697,657,640,589,581,548,761,773,745,1236
Vmn1r-ps69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Gm4879,3,8,4,6,6,2,5,6,7,5,3,3,6,6,3,4
Gm38946,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
Gm7965,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,1
Gm4270,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mzf1,53,99,94,60,74,61,84,53,72,82,77,59,71,64,93,145
Ube2m,5307,6350,6362,6488,5892,5721,6364,6259,5137,4757,4463,4391,4459,5115,4360,6917
Chmp2a,2637,2824,2679,2897,2792,2936,3193,3069,2320,2178,2098,1918,2339,2686,2439,3879
Trim28,19067,22451,24019,22600,21935,22436,23509,22860,19407,18009,17729,16263,20703,22170,20166,29571
Gm31649,2,5,1,1,0,0,3,0,1,1,3,0,3,6,1,2
Zbtb45,424,527,553,539,503,572,552,510,713,742,747,648,866,909,862,1128
Slc27a5,1,1,0,3,7,1,1,3,12,5,6,8,3,3,2,4
Zfp446,311,363,423,298,343,341,349,333,339,308,360,329,242,206,226,407
Zfp324,310,402,447,423,440,461,439,411,718,758,690,589,908,927,862,1291
Gm29638,0,0,2,2,4,4,0,0,0,0,1,1,2,2,1,0
1810019N24Rik,5,10,5,4,5,2,9,5,8,9,12,9,3,1,3,4
Rnf225,48,64,67,51,47,66,47,75,118,132,150,146,154,129,152,220
Rps5,31803,39929,34254,36306,32369,31565,37021,35417,28221,25928,26215,23590,25616,29058,26586,42156
Zscan22,556,728,736,641,642,676,664,676,780,837,720,742,910,916,809,1245
Zfp128,203,257,220,233,214,216,210,186,375,257,279,281,314,282,295,445
Gm45971,1,0,1,2,0,1,0,2,1,0,1,0,0,1,1,3
Gm31152,1,7,2,6,12,6,5,0,3,5,7,8,5,2,0,6
Zfp110,1505,2117,1858,1626,1738,1831,1820,1728,1983,1980,1827,1769,2074,2084,1883,2998
Zfp329,793,1270,1125,794,1010,1075,1044,772,1179,1139,1028,1118,1197,953,920,1630
Gm18194,8,17,27,14,18,25,8,25,35,35,33,37,55,35,42,77
Gm4247,52,80,64,57,76,77,84,61,126,150,129,155,185,161,144,325
Zscan18,103,141,171,131,143,145,153,107,131,153,125,106,169,159,167,293
Gm18205,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Gm6946,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vmn2r56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vmn2r55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm15773,6,7,5,4,3,5,7,4,3,6,1,4,0,2,1,7
Vmn2r53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm15877,0,1,1,2,1,1,0,1,1,0,0,0,1,2,0,1
2900092C05Rik,0,0,1,0,0,0,0,0,4,0,4,2,1,3,0,1
Zfp606,777,1004,1008,815,910,986,1059,724,1108,1101,1006,1011,1091,1131,896,1595
Vmn2r-ps53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp551,218,267,272,249,292,242,235,236,346,361,309,340,331,341,300,502
Vmn1r-ps66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vmn1r80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm19201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vmn1r-ps62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm10179,8,8,4,16,9,8,8,4,6,3,6,9,3,10,10,7
Gm18854,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0
Vmn1r-ps60,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Gm17850,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0
Gm18597,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Gm24414,2,1,2,0,0,4,0,2,1,4,0,1,5,1,1,1
Tpt1-ps4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18851,0,0,0,1,0,1,6,0,0,0,1,1,0,0,0,1
Gm34779,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Vmn1r74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm6929,5,3,0,1,2,3,1,3,2,1,0,3,0,4,2,4
Zscan4-ps3,2,3,3,2,13,3,17,10,4,3,0,0,9,5,2,4
Gm7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7848,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Zscan4-ps2,0,1,0,0,5,4,0,6,0,0,0,0,2,2,1,4
Gm7207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm7839,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zscan4f,1,3,2,2,9,8,18,14,1,2,5,0,4,8,0,3
Zscan4e,0,2,1,1,10,11,7,7,0,0,3,2,2,5,3,3
Gm19683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6909,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Gm18204,2,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0
Zscan4d,0,3,1,8,16,13,15,22,0,1,2,2,3,16,4,14
Gm38430,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm3774,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm7151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zscan4-ps1,0,1,2,0,6,11,6,13,0,1,0,2,7,8,5,5
Zscan4c,0,2,1,1,13,12,12,12,1,1,3,0,4,4,2,12
Zscan4b,0,1,2,0,6,8,11,9,1,1,5,1,3,6,1,5
Gm4903,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zscan4a,2,3,5,1,18,13,11,11,0,1,2,2,6,6,1,3
Gm5130,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0
Nlrp4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6900,20,25,21,25,29,18,21,19,15,26,14,12,19,12,23,25
Vmn1r69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm18193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zik1,276,349,325,304,293,395,337,308,358,376,327,326,335,351,303,566
Gm30645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm45401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vmn1r-ps48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm20679,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
Vmn2r52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm5888,1,4,0,6,3,5,5,3,1,3,0,1,0,2,1,0
Vmn2r-ps52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm45351,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vmn2r46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gm4011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vmn2r-ps41,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Gm18201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zfp419,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0
Gm20482,2,6,3,3,5,5,4,4,0,0,0,0,0,0,0,0
Gm3962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm3956,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Vmn2r-ps47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Vmn2r45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7704,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Vmn2r44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7696,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vmn2r-ps45,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Gm3654,0,0,2,1,0,2,0,1,0,0,0,0,2,0,0,0
Vmn2r43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2810047C21Rik1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm3675,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm42370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm7230,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vmn2r-ps37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7651,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Gm7648,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Gm6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm3912,0,0,1,0,3,0,0,0,3,9,5,6,5,13,7,13
Vmn2r30,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Gm45631,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Clcn4,1932,2205,2307,2011,2101,2177,2224,2127,2272,1996,2074,1980,2253,2163,1964,3254
Gm18190,4,9,8,6,8,8,2,2,9,10,10,7,14,2,4,10
Vmn2r29,167,227,206,174,208,227,200,191,291,302,310,270,221,234,210,400
Zfp772,381,518,467,422,431,419,438,384,640,661,616,523,503,524,460,763
Zfp418,103,118,103,103,122,116,116,105,151,135,118,127,185,181,157,299
Zfp773,30,28,23,23,13,33,25,24,24,33,20,37,44,42,37,57
Zfp954,258,362,324,312,308,338,282,275,467,476,455,410,422,449,452,657
Gm3530,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm6828,10,4,9,8,5,12,11,8,8,5,3,9,7,5,9,6
Pafah1b1-ps2,2,1,1,0,2,0,2,0,0,0,2,0,0,1,1,0
Aurkc,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
LOC115485607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zim3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Gm51257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Usp29,0,2,0,1,5,2,2,0,2,3,3,6,3,3,2,0
Peg3,39,47,45,21,39,44,48,27,34,32,14,31,54,36,32,54
Zim1,34,68,49,27,34,40,23,28,196,185,174,164,127,117,96,171
Gm7587,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Olfr1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Olfr1344,8,7,3,3,7,3,1,2,0,0,1,1,1,1,0,5
Smim17,10,12,21,12,8,14,22,9,8,10,6,7,13,11,10,24
Zfp28,187,279,277,234,236,250,218,211,409,413,439,414,328,308,302,505
Zfp78,50,69,61,40,64,50,51,34,137,122,137,149,111,101,87,190
Gm3854,5,4,4,1,0,1,1,0,2,2,3,2,2,0,2,1
Gm38944,0,1,1,6,0,1,0,2,0,1,0,1,0,2,1,1
Zfp583,67,80,91,63,62,69,62,64,79,59,51,55,49,58,54,106
Zfp667,139,210,202,170,180,182,174,136,336,346,335,297,331,373,280,523
Epp13,1,2,2,3,9,0,2,4,0,0,0,1,5,2,1,1
Zscan5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Galp,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Zfp444,1208,1414,1339,1304,1302,1364,1492,1378,1710,1666,1642,1467,1808,2017,1815,2847
Gm36371,48,77,57,46,71,73,42,71,60,65,51,49,42,77,65,99
Zfp787,776,1034,982,907,896,918,913,862,988,999,944,912,888,918,860,1346
Gm18758,5,4,4,3,2,1,0,1,4,1,1,7,2,0,4,0
Nlrp4c,0,2,1,1,0,1,1,0,1,0,1,0,1,0,0,0
Gm5052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5321,2,8,3,5,2,3,1,0,5,6,4,3,4,3,4,6
Gm7025,0,1,0,0,0,5,0,1,0,0,0,0,0,1,0,1
Vmn1r58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5065,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm18757,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nlrp2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vmn1r57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vmn1r56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vmn1r55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47692,8,14,8,4,9,7,10,4,8,5,4,4,8,9,6,6
Rasl2-9,7,11,6,10,4,3,6,5,9,2,4,4,0,5,0,6
Rfpl4,0,1,0,0,0,0,9,1,1,0,0,0,0,0,0,1
Epn1,6535,8195,8147,7930,7533,7780,7750,7626,8465,8477,8060,7531,9157,10259,9247,13175
U2af2,10553,11830,12447,11791,11191,11723,12615,12333,10440,9099,9048,8391,10701,11448,10322,16273
Ccdc106,90,100,90,80,97,138,109,104,233,279,211,183,229,262,232,376
Gm15510,20,13,25,14,21,34,19,13,35,34,37,33,23,25,19,42
Zfp580,55,76,90,103,85,69,75,57,59,68,71,70,56,40,60,105
Zfp784,105,130,151,109,137,153,136,179,275,251,236,248,231,282,294,387
Zfp865,1415,1865,1798,1602,1738,1711,1668,1511,1751,1755,1725,1521,1562,1614,1566,2508
Zfp524,347,474,394,355,435,412,395,383,502,546,547,448,454,544,431,712
Fiz1,1410,1987,1855,1820,1664,1739,1789,1664,1961,1786,1767,1691,1928,2062,1942,2686
Zfp579,612,1059,894,711,918,988,861,714,1259,1192,1179,1149,696,569,602,1024
Sbk3,2,7,2,1,3,0,4,5,10,2,8,3,0,2,0,8
Sbk2,4,4,1,3,5,3,5,5,6,16,18,10,7,6,8,9
Ssc5d,53,83,63,89,50,53,53,41,96,130,135,109,52,60,63,105
Nat14,121,165,163,129,124,117,112,135,199,226,169,188,169,147,156,286
Gm51297,0,0,0,0,1,2,0,0,1,1,3,0,2,0,0,0
Zfp628,547,762,645,741,653,617,641,574,699,726,657,617,647,695,627,1012
Gm5320,1,3,0,0,3,4,2,8,6,3,1,5,2,3,4,5
Gm36210,45,75,74,55,74,62,69,58,129,186,181,126,133,123,135,235
Isoc2a,1019,1239,1120,1243,1168,1282,1308,1192,1561,1472,1408,1199,1194,1404,1403,2261
Isoc2b,225,265,235,274,356,442,384,402,437,388,381,360,482,580,497,836
Gm36127,0,1,1,0,0,0,0,1,0,0,1,0,0,0,3,1
Shisa7,7,7,1,6,2,4,3,0,0,1,0,1,0,0,0,1
Ube2s,5316,6616,6302,6576,5678,5954,6735,6874,6577,5955,5959,5460,6234,6860,6091,10099
Rpl28,26714,35847,30930,33017,30985,29807,34123,32245,24329,22402,21778,20464,20374,23145,21187,32826
Tmem238,501,589,595,660,701,637,792,762,678,563,626,530,746,925,753,1241
Tmem190,14,4,23,11,14,9,17,25,32,32,27,25,42,32,20,43
Il11,19,35,11,16,12,14,14,12,22,12,13,19,16,12,14,22
Fam71e2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Cox6b2,19,34,27,15,34,16,16,15,8,11,11,10,4,5,0,4
Kmt5c,1601,2613,2356,1774,2586,2635,2215,2205,3369,3416,3306,3113,1958,1918,1897,3354
Gm42369,0,6,1,1,1,2,1,3,8,1,1,1,2,1,2,6
Gm24537,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Tmem150b,6,2,4,10,6,24,4,14,16,9,15,12,42,22,25,36
Brsk1,240,339,263,280,164,147,177,173,27,15,22,16,13,16,11,21
Hspbp1,1895,2026,2188,2186,1837,2080,2163,2097,1785,1571,1690,1472,1828,2245,1959,3108
Gm6855,2,7,4,1,2,1,8,1,3,2,7,5,1,3,0,2
Ppp6r1,5069,6190,6524,6029,6933,7000,6923,6931,7311,6889,6943,6355,8454,9069,8216,12162
Tmem86b,142,208,203,148,226,215,192,236,382,383,388,352,580,672,584,882
Gm18973,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,1
Gm9463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ptprh,17,19,21,22,28,40,21,30,44,37,30,35,54,59,56,74
Syt5,10,6,9,10,11,7,14,15,3,8,1,5,1,4,3,1
Dnaaf3,80,93,112,81,81,78,80,87,23,28,26,19,9,15,3,15
Tnni3,13,21,16,16,7,8,14,21,13,8,4,6,1,3,3,3
Tnnt1,4,8,11,8,6,5,6,3,20,14,10,15,22,23,12,27
Ppp1r12c,2833,3727,3445,3266,2996,3102,3441,3120,3660,3696,3590,3443,2837,3229,2980,4913
D630041G03Rik,1,1,2,0,1,1,4,1,4,6,3,3,1,1,0,4
Eps8l1,123,169,198,166,247,284,214,205,72,83,70,57,98,90,81,135
Rdh13,938,1226,1152,1030,935,982,1119,1114,983,1061,1002,872,968,1044,941,1498
Atp6v0c-ps1,5,2,3,3,2,5,3,6,4,4,1,0,0,5,0,8
Gp6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ncr1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Gm15931,1,0,0,0,1,1,2,2,0,0,3,2,0,1,4,0
Lilra5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm5319,0,2,0,4,0,0,1,0,2,3,0,0,0,3,1,0
Cdc42ep5,1028,1365,1266,1272,1530,1544,1797,1704,632,597,591,515,589,666,569,955
Leng9,136,125,113,93,142,137,119,165,111,132,117,91,148,151,148,232
Leng8,2823,5119,4537,3141,4183,4270,3607,3390,6057,6142,6043,6291,2585,2284,2343,4420
D030047H15Rik,6,9,16,11,12,18,25,13,13,7,10,8,16,12,9,18
Ttyh1,12,19,22,22,21,21,18,24,22,16,35,17,26,40,67,79
9430041J12Rik,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2
Lair1,1,0,0,0,0,0,0,1,1,0,2,1,2,2,2,8
Gm15928,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Gm7363,16,33,17,26,13,15,11,21,15,20,11,13,8,6,12,17
Lilra6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gm14548,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Gm10693,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Pira2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm15930,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pira1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pirb,0,1,1,0,2,0,1,1,1,3,0,2,1,0,1,4
Rps9,36650,44985,40749,41235,40160,40013,46707,43403,36867,34838,34649,31471,34901,40264,35951,59265
Tsen34,3338,3936,4020,3971,3774,3946,4107,4208,4442,4113,4107,3673,4206,4713,4376,6431
Mboat7,1816,2152,2223,2068,2428,2613,2384,2391,2910,3066,3130,2730,3929,4390,4037,5760
Tmc4,58,83,79,52,101,69,51,63,365,315,313,335,164,138,138,285
Leng1,520,554,553,492,506,508,554,536,550,547,509,508,548,649,575,900
Cnot3,2340,2913,2811,2580,2590,2770,2783,2758,3373,3458,3354,3232,2551,2640,2605,4046
Gm15927,186,228,238,163,212,267,252,227,276,299,261,252,295,309,260,505
Prpf31,1474,1625,1673,1613,1490,1593,1847,1688,1456,1241,1263,1197,1526,1751,1545,2535
Tfpt,384,526,471,504,514,426,502,485,438,369,402,399,422,507,423,723
Ndufa3,1583,2012,1695,1704,1733,1667,1931,1773,1886,1719,1654,1515,1833,2288,1882,3345
Oscar,4,6,2,2,1,1,4,3,5,5,6,6,8,5,3,9
Gm51440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarm1,0,1,3,0,0,0,1,0,0,0,3,2,2,1,1,4
Nlrp12,2,0,5,3,3,5,1,2,13,9,23,11,22,16,26,41
Gm21814,77,102,70,70,65,63,74,78,37,43,38,26,33,30,28,48
Gm15779,3,0,8,1,7,3,4,3,8,4,4,2,7,5,2,6
Gm25539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010003L21Rik,54,50,52,48,46,57,62,54,61,61,50,56,97,101,97,129
Sinhcaf,2937,3436,3510,3105,2904,3291,3734,3475,3310,3048,3047,3039,2907,3136,2864,4858
