"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gpa33",305.097314678288,2.54083174378246,0.276207578946771,9.19899357385887,3.61317913503287e-20,2.04541189571007e-17
"Radil",75.1032569955552,-1.23396327905326,0.134772275776195,-9.15591335047579,5.38999010650427e-20,2.97861119933248e-17
"Farp1",5077.4352628561,-0.332218777729195,0.0364331800032337,-9.11857756308146,7.61167634191013e-20,4.10853506734265e-17
"Proc",643.079142325335,1.3678675698587,0.150690900446721,9.07730702918142,1.11294316867746e-19,5.87077521477361e-17
"Oas1a",86.8721230860933,-2.22069195953912,0.246452598587626,-9.01062505433296,2.04885373852242e-19,1.05675322824679e-16
"Pcdh7",2713.96630342777,-0.312022407896019,0.0346546566670962,-9.00376566685992,2.18105381638625e-19,1.10048389300706e-16
"F2r",14865.5090279672,-0.325167526445594,0.0363965691995685,-8.93401585909501,4.10818421849211e-19,2.02874373853621e-16
"Tdg",1966.76038711804,-0.455675936747447,0.0513351093470663,-8.87649685650252,6.8999083742913e-19,3.33639319515211e-16
"Kng2",115.400434327225,4.63794772611212,0.524191222167372,8.84781646463977,8.92482686934383e-19,4.22745370688715e-16
"Gcnt3",979.214541740214,0.600873113858064,0.0682187562496358,8.80803384422993,1.27359986521677e-18,5.91205057433626e-16
"Prss8",184.934388868926,2.69242006351318,0.306309909314923,8.78985622611724,1.49751484611906e-18,6.81516070165164e-16
"Copg1",11927.0393842517,0.385100559832235,0.0439384333848307,8.76454916950196,1.87525564351371e-18,8.37013143960638e-16
"Slc3a1",166.364656220257,1.00941610386812,0.115666162409311,8.72697842516877,2.6156695735072e-18,1.14546586417174e-15
"Muc4",160.733797178698,3.77917328276349,0.434614896002478,8.69545272728512,3.45449612141188e-18,1.48479361070314e-15
"Cyp3a13",1592.74647096931,1.21870770050368,0.141544319051087,8.61007851585917,7.30105530612452e-18,3.08104533918455e-15
"Elovl7",4227.31211214779,0.268470818882419,0.0313492124365696,8.56387762294282,1.09133672203037e-17,4.52320094970089e-15
"Slc26a9",209.669969156544,1.51974988884467,0.177698447189915,8.55240950541585,1.20545223833623e-17,4.90851692136559e-15
"Gramd1c",214.847875244188,0.662881324170046,0.077646901708442,8.53712523725818,1.37602388690137e-17,5.50646800258291e-15
"4833439F03Rik",38.7571097905753,1.41908658210861,0.166423552916779,8.52695761649934,1.50246886399378e-17,5.91055971750773e-15
"Ago1",3711.56764999263,-0.347652389932668,0.0408851395592149,-8.5031479329832,1.84517527540361e-17,7.02803666767541e-15
"F2",296.155796397547,2.74355006509898,0.322655677131877,8.50302740521012,1.847092790729e-17,7.02803666767541e-15
"Rgs10",413.756484991766,-0.873165906750228,0.102728539596554,-8.49974028813627,1.9001533863157e-17,7.11331614457861e-15
"Ccn3",28.8470845650284,-2.38262123019643,0.282239086889758,-8.44185423235542,3.12342722618767e-17,1.15071025269549e-14
"Deptor",4968.82599174823,0.517244477706087,0.0613167236976054,8.43561831935073,3.29456330499958e-17,1.19479397357875e-14
"Gkap1",1213.32650235531,-0.377428552101455,0.0450231680778397,-8.38298520994626,5.1601962059568e-17,1.84258698369627e-14
"D6Ertd527e",67.9880104614465,1.259924468756,0.150442942647289,8.37476618434589,5.53336195916478e-17,1.94589895563962e-14
"Pmm1",827.538544099757,-0.653217844834964,0.0784101377089038,-8.33078303292902,8.03093928255196e-17,2.78206120519449e-14
"Kat2b",2890.3741866252,-0.331780950003368,0.0402165261957866,-8.24986594784826,1.58572300984568e-16,5.34411632457882e-14
"Acsbg1",1835.34052658903,0.547699220530203,0.0663906845118256,8.24963960768692,1.58872910984894e-16,5.34411632457882e-14
"Tmem98",5521.96058374576,0.432178001138772,0.0526264258862792,8.21218606166924,2.17197361770197e-16,7.20164395240895e-14
"P4ha1",13850.7975475455,0.204615526205395,0.0249370380430834,8.20528588246461,2.30042828773072e-16,7.52013247299015e-14
"Qk",6576.17578543805,-0.350465983913297,0.0429506932185387,-8.15972822906676,3.35779241496991e-16,1.08242169377016e-13
"Timp2",19488.1106672409,-0.387057830055149,0.0476090474057288,-8.12992175114543,4.29567636512925e-16,1.36578970458425e-13
"Cgref1",487.309712271309,-0.673794065095506,0.0832677839912652,-8.09189380092289,5.87441187854217e-16,1.84250134731032e-13
"Oasl1",1695.231303228,-1.01604424646232,0.12630000300304,-8.04468901269827,8.6464712290686e-16,2.6757946296891e-13
"Coq8b",1202.72528127708,0.434658737610385,0.0544529790412042,7.98227654875377,1.43658717015012e-15,4.3872616077874e-13
"Rprd1a",2607.75534509302,-0.241653526856224,0.0303638054978032,-7.95860475636719,1.73990055008109e-15,5.2445573723873e-13
"Csnk2a1",9278.24334650492,-0.193026591729185,0.0243215371423022,-7.93644705101536,2.08055126686023e-15,6.1909737056187e-13
"Gca",1892.01223147392,0.608175843736821,0.0768583830124788,7.91294091677777,2.51378676309432e-15,7.38544186979991e-13
"Trf",61024.188273623,1.30428942101656,0.165360788952595,7.887537482604,3.0820759705277e-15,8.94187290949349e-13
"Anxa4",31384.3384386128,0.409049734498107,0.0522307147550019,7.83159365934074,4.81724285456747e-15,1.3803482303026e-12
"Mtmr7",3091.26694252203,0.377766472590174,0.0482466709979468,7.82989716754241,4.88269163650526e-15,1.38203991321082e-12
"Celf2",5829.04181035046,-0.291741933806773,0.0372942213633434,-7.82271148563317,5.16974995053842e-15,1.44566140183129e-12
"Phf20",3912.94049851511,-0.360457429595802,0.0461473246015642,-7.81101467328799,5.67294093970449e-15,1.5674876096493e-12
"Ech1",5020.92842095969,0.33623709005383,0.0431350547862619,7.79498465273581,6.44163075110142e-15,1.75389315618676e-12
"Slc7a11",4436.70285262567,-0.747088306004604,0.0958558750031791,-7.79387080843846,6.49869932925728e-15,1.75389315618676e-12
"Tubgcp4",2935.595403909,0.247884530740209,0.0321597046632238,7.70792310862473,1.2788175395885e-14,3.41165001078726e-12
"Ttc36",157.813089420358,1.29877652068071,0.168607903460635,7.70293974377032,1.32971072104449e-14,3.50711202675483e-12
"Bcl2l11",1723.21745989293,0.325277558224262,0.0423267870967579,7.68491020782385,1.53104338358546e-14,3.99275471157513e-12
