,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Eva1c,383.9209451,-0.409947043,0.080098112,-5.118061278,3.09E-07,1.63E-05
Ube2o,2669.919403,-0.248278786,0.048534565,-5.115504467,3.13E-07,1.65E-05
Acer3,3680.388659,-0.375343947,0.07373573,-5.090394413,3.57E-07,1.88E-05
Zfp422,2879.437485,0.355003289,0.070009853,5.070761813,3.96E-07,2.08E-05
Rpn1,14012.02974,0.391197498,0.077305034,5.060440183,4.18E-07,2.19E-05
Usp31,3695.477658,-0.244317387,0.048402587,-5.047610115,4.47E-07,2.34E-05
Dusp8,318.2107462,-0.562373749,0.11153182,-5.042271767,4.60E-07,2.40E-05
Slc35b2,2502.913632,0.327313921,0.064919363,5.041853554,4.61E-07,2.40E-05
Spred3,1608.641592,-0.474448822,0.094109743,-5.041442097,4.62E-07,2.40E-05
Rasa4,846.729653,-1.227330739,0.243532684,-5.039696181,4.66E-07,2.42E-05
Chst14,1183.1995,-0.263447245,0.052318709,-5.03543092,4.77E-07,2.46E-05
Xrcc4,768.977685,0.246879943,0.049036962,5.034568478,4.79E-07,2.47E-05
2310001H17Rik,100.4236733,0.822627793,0.163639497,5.027073592,4.98E-07,2.56E-05
Cdkl3,142.8362784,0.650734218,0.129507706,5.024675676,5.04E-07,2.59E-05
9330159M07Rik,62.46842426,-0.755325296,0.150409352,-5.021797417,5.12E-07,2.62E-05
Serinc1,8699.908439,0.234512819,0.046724676,5.019035746,5.19E-07,2.65E-05
Trim26,2351.996211,-0.305707042,0.060917355,-5.018389963,5.21E-07,2.66E-05
Unc13c,1589.629306,-0.323709798,0.064615842,-5.009759018,5.45E-07,2.77E-05
Slc6a18,19.45408389,4.576921618,0.913761216,5.008881464,5.47E-07,2.78E-05
Zfp160,547.8166721,-0.390434602,0.077969242,-5.007546487,5.51E-07,2.79E-05
Rttn,1721.634108,-0.277353465,0.055403943,-5.006023907,5.56E-07,2.81E-05
Hnrnpll,5781.604842,-0.168633631,0.033696003,-5.004558935,5.60E-07,2.83E-05
Snx5,5439.354232,0.376625701,0.075263699,5.004081744,5.61E-07,2.83E-05
Simc1,1429.964997,-0.249905536,0.049947866,-5.003327576,5.63E-07,2.83E-05
Gm15663,40.6694367,0.982941684,0.19677597,4.995232301,5.88E-07,2.95E-05
Heatr5b,3478.040257,0.24186025,0.048455825,4.9913555,6.00E-07,3.00E-05
4632428C04Rik,143.7357828,0.545408307,0.10934568,4.987927335,6.10E-07,3.05E-05
Six1,33.34639651,-0.895976782,0.179864779,-4.98139094,6.31E-07,3.14E-05
Zfp354a,116.0115327,-0.60960407,0.122517015,-4.975668661,6.50E-07,3.23E-05
Ccs,1347.044705,0.271918829,0.054684032,4.972545312,6.61E-07,3.28E-05
Gm40139,273.6538117,-0.633249373,0.127362801,-4.972011998,6.63E-07,3.28E-05
Wdfy2,731.7983065,-0.334282288,0.067266185,-4.969544337,6.71E-07,3.31E-05
Tle1,1853.19536,0.379274928,0.076403602,4.964097491,6.90E-07,3.40E-05
Alyref2,103.9392623,0.57728924,0.116375376,4.960578966,7.03E-07,3.46E-05
Slc44a4,43.96986997,1.939811745,0.39151345,4.954649057,7.25E-07,3.56E-05
Smim4,225.0773698,0.378045648,0.076322486,4.953266954,7.30E-07,3.57E-05
Irf7,127.892914,-1.527541045,0.30879601,-4.9467642,7.55E-07,3.69E-05
Rab11fip5,1407.859455,-1.042640312,0.210872106,-4.944420244,7.64E-07,3.72E-05
Gnao1,377.7940046,-0.303297116,0.061368414,-4.942234849,7.72E-07,3.76E-05
Bag4,1771.490908,-0.140083765,0.028350513,-4.94113683,7.77E-07,3.77E-05
Fam187b,76.101864,0.751774199,0.152168515,4.940405709,7.80E-07,3.78E-05
Irf9,583.6873714,-0.48886575,0.098994752,-4.938299675,7.88E-07,3.81E-05
Tgfb2,613.0513616,-1.123872406,0.227665838,-4.936499982,7.95E-07,3.84E-05
Alg2,1651.353458,0.567669722,0.115000681,4.936229203,7.96E-07,3.84E-05
Snora68,55.41830052,-0.753427353,0.152662105,-4.935261132,8.00E-07,3.85E-05
Tollip,4444.683447,-0.229964218,0.04670871,-4.923369099,8.51E-07,4.08E-05
Tmem130,129.8574294,1.240086098,0.25203226,4.920346697,8.64E-07,4.13E-05
2610528J11Rik,4.229501654,3.349383763,0.680992718,4.918384107,8.73E-07,4.17E-05
Bnip2,2463.76161,-0.59356777,0.120933508,-4.908215912,9.19E-07,4.38E-05
Rab30,347.4057992,-0.332884002,0.06785061,-4.906131318,9.29E-07,4.42E-05
Sectm1b,35.13450477,2.147736368,0.437843884,4.905256069,9.33E-07,4.43E-05
Wdr37,1529.717407,-0.25823744,0.052713094,-4.898923958,9.64E-07,4.56E-05
Nrm,888.34304,-0.346342251,0.070700993,-4.898690053,9.65E-07,4.56E-05
Foxd2os,300.4888192,-0.392530157,0.080207987,-4.893903595,9.89E-07,4.66E-05
Gm30233,131.3378666,-0.641798012,0.131305213,-4.887833455,1.02E-06,4.80E-05
Itpa,2346.89068,0.300111622,0.061405815,4.887348561,1.02E-06,4.80E-05
Naf1,1717.366234,-0.196563424,0.040252601,-4.883247763,1.04E-06,4.89E-05
2810459M11Rik,8.976093413,2.291751681,0.469384598,4.882460331,1.05E-06,4.90E-05
Gm51760,20.01933812,-1.237798054,0.253788995,-4.877272374,1.08E-06,5.02E-05
Gm38636,20.8329407,-1.061428953,0.217704735,-4.875543707,1.09E-06,5.06E-05
Rasal1,36.62435843,-1.357367908,0.278642662,-4.871357087,1.11E-06,5.15E-05
Ubxn4,6097.030222,0.235477072,0.048345122,4.870751475,1.11E-06,5.15E-05
Pnkd,2596.26044,-0.328710793,0.067486921,-4.870733298,1.11E-06,5.15E-05
Hspa1a,86.16154082,0.717099032,0.147309799,4.867965585,1.13E-06,5.21E-05
Bbs12,1435.085503,-0.384713264,0.079071017,-4.865414407,1.14E-06,5.27E-05
Shf,207.2231087,-0.507261136,0.104357408,-4.860806221,1.17E-06,5.38E-05
Zswim9,677.7149512,0.289621584,0.059599583,4.859456521,1.18E-06,5.41E-05
Tmem238,693.115322,0.376206891,0.077495567,4.854560164,1.21E-06,5.53E-05
Gm39860,76.77067864,-0.853392632,0.175808681,-4.854098355,1.21E-06,5.54E-05
Slc9a5,2190.064975,-0.965386271,0.199122328,-4.848207029,1.25E-06,5.69E-05
Becn1,4207.638246,0.237423182,0.048983135,4.847039377,1.25E-06,5.70E-05
Rida,4028.466987,0.672161892,0.138683312,4.846739541,1.26E-06,5.70E-05
Zdhhc24,860.0242712,0.512651392,0.105773447,4.846692693,1.26E-06,5.70E-05
Hook2,1975.873899,0.261937278,0.054082066,4.843329752,1.28E-06,5.79E-05
Akt3,7314.811687,-0.725630516,0.14983398,-4.842896881,1.28E-06,5.79E-05
C2cd3,5186.308593,0.297989633,0.06154769,4.841605503,1.29E-06,5.82E-05
2310047K21Rik,518.0142236,0.439625546,0.090859192,4.838536814,1.31E-06,5.89E-05
Dennd5a,7702.544021,-0.200197057,0.04138349,-4.837606935,1.31E-06,5.91E-05
Bcl2,2797.234312,-0.338467737,0.070029387,-4.833224353,1.34E-06,6.03E-05
Gm36090,486.310056,1.049869704,0.217247112,4.832606035,1.35E-06,6.04E-05
Gm18095,98.60811708,0.71852757,0.148903469,4.82545889,1.40E-06,6.24E-05
Mindy2,2898.492736,-0.552654211,0.114532368,-4.82531025,1.40E-06,6.24E-05
Cyp4f14,618.7658312,2.643484326,0.547870234,4.825019068,1.40E-06,6.24E-05
Ggt6,81.38875153,1.200279428,0.24884672,4.823368484,1.41E-06,6.28E-05
Copb1,10754.39987,0.209435241,0.043483071,4.816477704,1.46E-06,6.48E-05
Cyp2c55,145.9874679,3.532616175,0.734072887,4.812350702,1.49E-06,6.61E-05
Stxbp5,2618.990661,-0.159166789,0.033089288,-4.810221029,1.51E-06,6.67E-05
Trim40,229.833147,-1.356339168,0.282345582,-4.803826426,1.56E-06,6.87E-05
Arv1,1247.186643,-0.310481761,0.064675423,-4.800614352,1.58E-06,6.97E-05
Pex6,4540.389969,0.255662931,0.053302554,4.796448081,1.62E-06,7.10E-05
Tnfrsf25,40.53886325,-1.522241697,0.317453037,-4.79517131,1.63E-06,7.13E-05
